Date,Open,High,Low,Close,Volume,Adj Close
2013-10-01,13.82,13.90,13.81,13.86,21032800,13.86
2013-09-02,13.77,13.90,13.75,13.751,17168800,13.751
2013-08-01,12.85,13.85,12.74,13.77,19329000,13.69052
2013-07-01,13.37,13.48,12.28,12.66,35499000,12.58693
2013-06-03,13.35,13.74,13.28,13.325,17121600,13.24809
2013-05-01,13.37,13.52,13.19,13.355,19590000,13.199
2013-04-01,14.20,14.3125,13.07,13.40,23720000,13.24347
2013-03-01,13.90,14.64,13.89,14.33,23474200,14.16261
2013-02-01,14.00,14.17,13.04,13.95,45990000,13.71095
2013-01-01,10.14,13.60,10.14,13.24,41290800,13.01312
2012-12-03,10.39,10.845,9.90,10.14,21264300,9.96624
2012-11-01,9.25,9.97,8.69,9.64,25718600,9.40042
2012-10-01,9.87,10.04,9.18,9.24,17589000,9.01037
2012-09-03,10.59,10.87,9.78,9.855,18772400,9.61008
2012-08-01,11.92,12.7688,10.57,10.59,20075900,10.24424
2012-07-02,12.58,12.73,11.43,11.88,16543800,11.49212
2012-06-01,12.15,12.60,11.68,12.51,23487300,12.10155
2012-05-01,16.39,16.59,12.31,12.33,21908500,11.92743
2012-04-02,16.52,16.85,15.92,16.37,13966900,15.83553
2012-03-01,17.43,17.49,16.32,16.595,17317000,16.05318
2012-02-01,17.32,18.36,16.86,17.30,22091900,16.73516
2012-01-02,14.63,17.23,14.63,17.23,15012200,16.66745
2011-12-01,15.63,16.0095,14.51,14.63,15139800,14.15234
2011-11-01,15.36,15.79,14.15,15.76,23129500,15.24544
2011-10-03,14.01,16.65,13.61,15.81,26803600,15.29381
2011-09-01,14.93,15.48,13.72,14.14,24159200,13.67834
2011-08-01,16.37,16.59,13.29,14.865,35840100,14.37966
2011-07-01,16.70,17.60,16.145,16.24,19965600,15.70977
2011-06-01,15.97,16.75,15.43,16.67,26981000,16.12573
2011-05-02,15.54,16.96,15.34,16.08,29975800,15.555
2011-04-01,14.68,15.98,14.13,15.47,27196100,14.96491
2011-03-01,15.88,15.93,14.06,14.51,22540600,14.03626
2011-02-01,13.23,15.89,13.19,15.83,27324100,15.31316
2011-01-03,13.64,14.46,12.99,13.16,19551300,12.73033
2010-12-01,13.47,14.02,13.20,13.55,18767000,13.1076
2010-11-01,14.55,14.70,13.12,13.22,24566500,12.78837
2010-10-01,13.00,14.89,12.77,14.395,23968500,13.92501
2010-09-01,11.95,13.17,11.79,12.97,26596100,12.54654
2010-08-02,13.43,13.68,11.34,11.77,26711900,11.38572
2010-07-01,12.14,13.95,11.72,13.24,21193000,12.80772
2010-06-01,13.24,14.28,12.00,12.06,32610400,11.66625
2010-05-03,16.28,16.46,12.84,13.33,35236500,12.89478
2010-04-01,15.02,17.52,14.92,16.20,29935200,15.67108
2010-03-01,13.34,15.25,13.28,15.02,25640200,14.5296
2010-02-01,12.98,14.48,12.92,13.24,30501500,12.80772
2010-01-04,14.62,15.20,12.75,12.90,26869600,12.47882
2009-12-01,14.12,14.81,12.74,14.36,29500900,13.89115
2009-11-02,14.41,16.10,13.96,14.12,24564100,13.65899
2009-10-01,15.24,16.20,14.36,14.45,23217200,13.97821
2009-09-01,15.72,17.13,15.05,15.26,26524600,14.76177
2009-08-03,13.52,17.26,13.07,15.83,29178500,15.31316
2009-07-01,13.76,14.24,11.84,13.38,37589500,12.94315
2009-06-01,11.70,13.96,11.45,13.73,26142200,13.28172
2009-05-01,11.63,12.32,10.39,11.57,31529300,11.19224
2009-04-01,9.33,12.05,9.22,11.62,29741000,11.24061
2009-03-02,8.53,10.86,8.00,9.48,31497900,9.17048
2009-02-02,9.38,10.12,7.84,8.53,37160300,8.2515
2009-01-02,10.31,11.43,9.45,9.50,27055400,9.18983
2008-12-01,10.935,12.29,9.74,10.24,19507800,9.90567
2008-11-03,12.25,13.32,8.72,11.17,30299300,10.8053
2008-10-01,16.22,16.60,10.59,12.20,34945100,11.80168
2008-09-02,21.91,21.98,14.50,16.48,43879400,15.94194
2008-08-01,24.65,26.04,21.72,21.73,31399000,21.02052
2008-07-01,21.56,25.26,21.44,24.57,27357900,23.7678
2008-06-02,22.99,24.66,21.87,21.88,29685000,21.16563
2008-05-01,18.69,23.945,18.66,23.06,31057000,22.3071
2008-04-01,20.28,20.34,18.13,18.63,27164000,18.02174
2008-03-03,19.84,20.81,18.91,19.92,25514800,19.26962
2008-02-01,20.12,21.18,18.87,19.90,34158600,19.25027
2008-01-02,24.36,24.65,18.87,20.04,41084500,19.3857
2007-12-03,24.60,25.38,23.15,24.51,29958800,23.70976
2007-11-01,30.28,30.54,23.92,24.54,33283100,23.73878
2007-10-01,27.60,30.77,27.14,30.60,21393500,29.60093
2007-09-04,28.20,28.77,26.21,27.60,20671600,26.69887
2007-08-01,27.64,29.12,24.96,28.25,25691200,27.32765
2007-07-02,28.81,29.61,27.20,27.97,20307600,27.05679
2007-06-01,27.98,28.86,26.74,28.55,20249900,27.61786
2007-05-01,25.21,26.97,24.65,26.911,19196400,26.03237
2007-04-02,23.09,25.87,22.86,25.21,18761400,24.38691
2007-03-01,22.51,23.88,21.61,23.21,26021500,22.4522
2007-02-01,25.36,25.51,22.51,22.85,26242500,22.10396
2007-01-03,25.35,27.48,23.57,24.22,21861200,23.42923
2006-12-01,27.08,27.58,25.04,25.09,17162800,24.27082
2006-11-01,24.375,27.89,23.41,27.24,28673300,26.35063
2006-10-02,22.70,24.95,22.48,24.43,22278300,23.63237
2006-09-01,22.80,23.10,20.52,22.84,23720400,22.09429
2006-08-01,21.44,23.35,20.65,22.55,25485700,21.81375
2006-07-03,24.55,24.68,18.95,22.22,31250400,21.49453
2006-06-01,25.32,26.08,23.53,24.46,21521200,23.66139
2006-05-01,26.29,26.80,23.60,25.38,29624700,24.55136
